10;310;3
10;410;4
10;510;5
10;10;6
10;110;7
10;210;8
110;310;9
110;410;10
210;10;12
210;110;13
210;210;14
210;310;15
210;510;17
310;10;18
310;210;20
310;510;23
410;10;24
410;110;25
410;210;26
410;410;28
410;510;29
510;10;30
510;110;31
510;410;34
510;510;35
610;10;36
610;110;37
610;310;39
610;410;40
610;510;41
710;10;42
710;110;43
710;310;45
710;410;46
710;510;47
810;10;48
810;110;49
810;210;50
810;310;51
810;410;52
810;510;53
110;10;0
110;110;1
110;210;2
417;298;27
193;485;11
253;447;16
614;224;38
312;367;22
365;335;21
429;294;33
497;250;32
570;211;19
410;310;44
